*Name, width, height, x (multiples of 8), y (multiples of 8)*
*Kanto routes
Route 1,8,13,44,12
Route 2,8,20,44,5
Route 3,14,8,46,4
Route 4,22,8,49,4
Route 5,8,4,52,6
Route 6,8,4,52,9
Route 7,4,8,51,8
Route 8,12,8,54,8
Route 9,14,8,54,5
Route 10,8,6,56,7
Route 11,16,6,55,10
Route 12,5,29,56,9
Route 13,21,6,54,12
Route 14,6,16,54,13
Route 15,23,5,51,14
Route 16,13,6,47,9
Route 17,6,33,47,10
Route 18,12,5,47,14
Route 19,6,7,49,15
Route 20,38,6,45,16
Route 21,6,20,44,13
Route 22,15,6,41,9
Route 24,6,8,53,3
Route 25,29,5,53,2
Route 26,5,25,40,10
Route 27,38,5,36,13
Route 28,17,5,38,9
*Kanto Citys
Pewter City,16,16,44,3
Viridian City,16,17,43,8
Pallet Town,8,9,44,12
Cinnibar Island,9,7,44,16
Celadon City,18,17,49,8
Fuchsia City,16,16,49,13
Cerulean City,15,16,52,4
Saffron City,17,17,52,7
Vermillion City,16,17,52,10
Lavender Town,9,7,56,8
*Other places in Kanto
Tohjo Falls,5,6,35,13
Mt. Silver,7,4,37,9
Victory Road,6,12,40,8
Indigo Plateau,7,5,40,7
Digglet's Cave,5,6,44,5
Digglet's Cave,6,5,54,10
Viridian Forest,6,6,44,6
Mt. Moon,7,6,48,4
Seafoam Island,6,6,47,16
Pal Park,5,4,49,13
Cerulean Cave,5,5,52,4
Rock Tunnel,7,6,56,5
Power Plant,6,6,56,6
*Johto Routes
Route 29,21,5,30,13
Route 30,6,22,29,10
Route 31,6,6,28,9
Route 32,5,30,26,10
Route 33,6,7,26,15
Route 34,5,14,23,13
Route 35,6,15,23,9
Route 36,16,5,24,8
Route 37,6,7,24,7
Route 38,22,5,20,6
Route 39,6,7,20,7
Route 40,6,15,19,9
Route 41,14,12,18,11
Route 42,21,6,25,6
Route 43,6,14,28,4
Route 44,21,5,29,6
Route 45,6,31,32,8
Route 46,6,10,31,12
Route 47,21,13,14,12
Route 48,14,10,14,11
*Citys of Jotho
Clanwood City,9,16,17,11
Olivine City,17,17,20,8
Ecruteak City,17,17,23,5
Goldenrod City,25,18,21,11
Mahogany Town,9,9,28,6
Violet City,17,17,26,8
Azalea Town,16,9,24,15
Cherrygrove City,18,9,28,13
Blackthorn City,18,17,32,5
New bark Town,9,9,33,13
*Other places in Johto
Safari Zone,14,14,14,9
Battle Frontier,9,9,18,7
Whirl Uslands,5,5,19,12
Lighthouse,8,7,21,9
Mational Oark,9,9,22,7
Burnet Tower,8,7,23,5
Bell Tower,8,9,24,5
Ulex Forest,7,6,23,15
Slowpoke Well,8,10,25,15
Union Cave,6,6,26,14
Sprout Tower,9,8,27,8
Mt. Mortar,7,6,26,6
Lake of Rage,25,16,27,2
Dark Cave (violet entrance),6,6,29,9
Ice Path,8,9,33,5
Dark Cave (blackthorn entrance),6,5,32,7
Dark Cave (violet entrance),6,5,31,11
*Sinnoh routes
Route 201,6,6,62,16
Route 202,6,3,64,18
Route 203,7,6,65,16
Route 204,6,2,64,15
Route 205,4,13,65,13
Route 205,4,10,66,11
Route 206,6,18,67,13
Route 207,5,7,68,15
Route 208,10,6,69,15
Route 209,7,10,73,15
Route 210,5,14,73,12
Route 210,13,6,72,11
Route 211,16,6,69,11
Route 212,5,10,71,17
Route 212,19,5,71,18
Route 213,12,6,76,18
Route 213,14,6,76,18
Route 214,5,17,77,14
Route 215,17,5,74,12
Route 216,18,7,67,8
Route 217,7,28,67,4
Route 218,5,6,62,16
Route 219,6,4,64,20
Route 220,14,4,64,20
Route 221,8,5,66,20
Route 222,12,6,77,17
Route 223,6,21,80,13
Route 224,5,9,80,11
Route 224,7,5,81,11
Route 225,4,14,74,7
Route 226,15,5,76,7
Route 227,5,8,77,6
Route 228,6,18,78,7
Route 229,10,6,78,9
Route 230,14,5,76,9
*Sinnoh Citys
Canalave City,9,17,61,15
Twinleaf Town,9,8,62,19
Sandgem Town,8,8,64,18
Jubilife City,17,16,63,16
Floaroma Town,9,16,64,13
Oreburgh City,17,16,66,16
Eterna City,18,16,66,11
Snowpoint City,9,16,68,4
Celestic Town,9,8,71,11
Hearthome City,17,16,71,15
Solaceon Town,17,8,73,14
Pastoria City,17,16,73,18
Veilstone City,16,16,76,12
Fight Area,17,9,74,9
Survival Area,9,9,75,6
Resort Area,9,10,79,10
Sunyshore City,17,17,79,16
Pokemon League,9,8,79,11
*Places in sinooh
Verity Lakefront,7,7,62,18
Valley Windworks,5,6,66,14
Eterna Forest,5,9,65,11
Fuego Ironworks,7,3,64,12
Mt. Coronet,6,17,68,13
Mt. Coronet,6,45,69,8
Acuity Lakefront,8,6,67,3
Valor Lakefront,7,7,76,16
Spring Path,12,13,77,15
Flower Paradise,5,12,81,4
Battle Park,6,6,75,8
Stark Mountain,7,10,77,4
*Hoenn routes
Route 101,6,13,8,41
Route 102,9,6,6,40
Route 103,28,6,8,39
Route 104,6,21,2,37
Route 105,17,6,2,40
Route 105,6,48,2,41
Route 106,33,5,2,47
Route 107,19,6,6,48
Route 108,15,6,9,48
Route 109,6,39,11,44
Route 110,6,27,11,38
Route 111,5,43,11,30
Route 112,13,6,9,33
Route 113,26,6,8,30
Route 114,12,5,4,30
Route 114,6,12,4,31
Route 115,16,5,2,32
Route 115,6,20,2,32
Route 116,34,5,4,35
Route 117,16,6,9,36
Route 118,7,7,13,36
Route 119,6,44,13,30
Route 120,6,23,15,30
Route 121,28,7,16,32
Route 122,6,5,18,33
Route 123,41,6,14,36
Route 124,12,7,22,32
Route 124,35,35,23,32
Route 125,22,13,28,32
Route 126,30,33,23,37
Route 127,27,34,27,37
Route 128,18,10,28,41
Route 128,28,6,30,42
Route 129,17,12,28,42
Route 130,17,5,26,43
Route 131,26,6,23,43
Route 132,13,6,20,43
Route 133,20,5,17,43
Route 134,30,5,13,43
*hoenn citys
Rustboro City,18,18,2,35
Petalburg City,17,9,4,40
Dewford Town,9,8,5,47
Fallarbor Town,17,8,6,30
Lavaridge Town,9,8,8,32
Verdanturf Town,9,9,8,35
Oldale Town,9,9,7,40
Lettleroot Town,9,9,7,42
Mauville City,17,18,11,36
Slateport City,17,18,11,42
Fortree City,9,8,14,30
Lilycove City,18,17,20,32
Pacifidlog Town,9,8,22,43
Sootopolis City,9,8,25,38
Mossdep City,17,10,28,34
Ever Grande City,8,8,34,40
*hoenn places
Granite Cave,6,6,3,47
Altering Cave,9,5,9,39
Sky Pillar,10,6,25,43
Tt Pyre,6,4,18,34
*Battle Frontier
Battle Frontier,15,14,28,46
*Sevi islands
Mt. Ember,5,6,43,47
Kindle Road,6,40,43,48
One Island,9,8,42,52
Treasure Beach,7,13,42,53
Two Island,9,9,50,53
Cape Brink,5,13,50,51
Berry Forest,8,5,54,56
Band Bridge,23,5,56,56
Three Island,9,9,58,56
Three Isle port,13,5,59,57
Four Island,9,9,58,66
Icefall Cave,5,4,58,66
Navel Rock,12,11,51,69
Water Labyrinth,21,7,46,72
Resort Gorgeous,15,6,44,71
Lost Cave,6,5,44,71
Five Island,10,9,46,72
Five Isle meadow,7,13,45,73
Memorial Pillar,6,20,44,74
Birth Island,11,10,58,92
Altering Cave,7,6,56,80
Outcast Island,7,18,56,80
Green Path,14,6,56,82
Pattern Bush,9,8,58,82
Water Path,5,38,59,82
Ruin Valley,13,12,57,87
Dotted Hole,7,5,57,88
Tanoby Ruins,47,5,44,91
Sevault Canyon,7,23,47,88
Canyon Entrance,9,5,46,88
Seven Island,9,10,46,87
Trainer Tower,5,13,46,85
